QC,TI,Re_d,PGrad,TurbTime,PStress,UMisalign,ConvTKE,TauRatio,Curvature,SQUARED_DUCT_RSTRESS,PERIODIC_HILL_RSTRESS
0.826769,0.0650813,2,-0.268489,0.362341,0.763749,0.199115,-0.985612,0.535526,0.0868646,0.060492,-0.256393
0.776962,0.0593977,2,-0.290984,0.386485,0.743796,0.207827,-0.970168,0.535846,0.0779551,0.06436,-0.235718
0.730173,0.0544256,2,-0.310618,0.400892,0.726212,0.216784,-0.954543,0.536127,0.0705175,0.066134,-0.215891
0.685975,0.0500957,2,-0.32732,0.407432,0.710615,0.227566,-0.938868,0.536366,0.0643133,0.063041,-0.198619
0.642071,0.0463287,2,-0.341472,0.408112,0.696717,0.240771,-0.92291,0.536562,0.0590977,0.058427,-0.181059
0.594853,0.0430487,2,-0.353505,0.404356,0.683957,0.257415,-0.906644,0.536702,0.054707,0.052764,-0.163058
0.539132,0.0401878,2,-0.363914,0.397081,0.672354,0.278536,-0.888778,0.536803,0.0509829,0.044332,-0.146415
0.465313,0.0376868,2,-0.372966,0.387904,0.661613,0.305597,-0.867258,0.536877,0.047828,0.034023,-0.132035
0.357217,0.0354935,2,-0.380811,0.378753,0.651503,0.340453,-0.83872,0.536934,0.0451662,0.021929,-0.120953
0.186482,0.0335641,2,-0.387796,0.371678,0.642059,0.385536,-0.796437,0.536999,0.0429134,0.007307,-0.117226
-0.0872237,0.0318617,2,-0.39392,0.369375,0.633285,0.440599,-0.729578,0.537088,0.0410138,-0.009004,-0.121758
-0.475927,0.0303546,2,-0.399432,0.373998,0.624873,0.490477,-0.622072,0.537215,0.0394314,-0.026388,-0.132544
-0.858588,0.0290167,2,-0.404595,0.386306,0.616672,0.491162,-0.453659,0.537394,0.0381277,-0.0446,-0.148112
-0.999668,0.0278263,2,-0.409325,0.405383,0.608828,0.428371,-0.22136,0.53764,0.0370658,-0.061648,-0.166371
-0.880397,0.0267648,2,-0.413645,0.429213,0.601121,0.349678,0.0209166,0.537957,0.0362337,-0.077084,-0.185499
-0.676413,0.025818,2,-0.417914,0.455452,0.593414,0.282273,0.140884,0.538355,0.0355993,-0.09123,-0.203997
-0.495941,0.0249734,2,-0.422,0.482041,0.585679,0.229559,0.168967,0.538826,0.0351559,-0.103805,-0.220736
-0.360545,0.024221,2,-0.425883,0.507757,0.5781,0.18853,0.158552,0.539368,0.0348769,-0.1143,-0.235801
-0.263391,0.0235529,2,-0.429701,0.53197,0.570309,0.15629,0.130318,0.539968,0.0347729,-0.123006,-0.2496
-0.193981,0.022963,2,-0.433392,0.554362,0.56259,0.130472,0.0941192,0.540616,0.0348162,-0.130472,-0.26293
-0.144135,0.0224463,2,-0.437118,0.574658,0.554804,0.109575,0.057111,0.541285,0.0349989,-0.136576,-0.276446
-0.107739,0.0219996,1.97508,-0.440564,0.593172,0.547311,0.0923381,0.0223257,0.541961,0.0353144,-0.141179,-0.290743
-0.0807655,0.0216209,1.77467,-0.444002,0.610238,0.54009,0.0778446,-0.00723298,0.54263,0.0357348,-0.143969,-0.306163
-0.0605805,0.0213094,1.59446,-0.447386,0.626059,0.533366,0.0655275,-0.0289521,0.543265,0.0362435,-0.144622,-0.323097
